City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puntarenas,CR,88.45,scattered clouds,9.9763,-84.8384,Michael's Surfside Hotel
1,Vaini,TO,82.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
2,Ribeira Grande,PT,59.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
3,Bluff,NZ,61.48,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
4,Santa Cruz De Tenerife,ES,64.72,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
6,Ramnagar,IN,68.4,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
8,Ahipara,NZ,69.98,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
9,Bengkulu,ID,74.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
10,Punta Arenas,CL,51.91,clear sky,-53.15,-70.9167,Hotel Hain
12,Nova Olimpia,BR,76.19,overcast clouds,-14.7972,-57.2881,Motel glamour
15,Bac Lieu,VN,79.81,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
16,Ratnagiri,IN,77.23,broken clouds,16.9833,73.3,Hotel Landmark
17,Port Alfred,ZA,70.5,clear sky,-33.5906,26.891,The Halyards Hotel
19,New Norfolk,AU,53.1,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Barquisimeto,VE,85.69,overcast clouds,10.0739,-69.3228,Hotel Príncipe
22,Rikitea,PF,79.54,light rain,-23.1203,-134.9692,People ThankYou
23,Camana,PE,72,scattered clouds,-16.6228,-72.7111,Hostal Morales
24,Vangaindrano,MG,72.48,overcast clouds,-23.35,47.6,Hotel Fanilo
25,Tadpatri,IN,84.52,overcast clouds,14.9167,78.0167,subramanya swamy hotel
27,Healdsburg,US,89.2,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
29,Honiara,SB,82.13,broken clouds,-9.4333,159.95,Heritage Park Hotel
31,Harper,LR,79.9,overcast clouds,4.375,-7.7169,Screensaver
32,Hobyo,SO,78.67,few clouds,5.3505,48.5268,Iftin hotel hobyo
34,Hobart,AU,53.46,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Hithadhoo,MV,83.32,clear sky,-0.6,73.0833,Scoop Guest House
38,Camacha,PT,56.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
39,Portland,US,68.16,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
40,Tazmalt,DZ,52.52,overcast clouds,36.3868,4.3989,Hôtel Numédia
41,Busselton,AU,52.72,clear sky,-33.65,115.3333,Observatory Guest House
42,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
43,Xenia,US,58.33,light intensity drizzle,39.6848,-83.9296,Ramada by Wyndham Xenia
44,Praia,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
45,Sinnamary,GF,76.93,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
47,Faanui,PF,80.71,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Cape Town,ZA,74.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
50,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
51,Atuona,PF,79.34,overcast clouds,-9.8,-139.0333,Villa Enata
52,Kapaa,US,71.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Santo Antonio Do Sudoeste,BR,71.65,overcast clouds,-26.0736,-53.7253,Hotel Frontera
60,Killybegs,IE,50.86,overcast clouds,54.6333,-8.45,Tara Hotel
61,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
62,Lata,PT,56.8,light rain,40.1629,-8.3327,Casa Maquia
63,Chuy,UY,66.33,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
66,Caravelas,BR,74.82,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
69,Kisangani,CD,71.19,overcast clouds,0.5167,25.2,Grand Ramela Hotel
70,Fortuna,US,66.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
71,Lebu,CL,59.02,few clouds,-37.6167,-73.65,Hostal Las Lilas
73,Mataura,NZ,67.12,clear sky,-46.1927,168.8643,Ellie's Villa
74,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
76,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Dhidhdhoo,MV,81.91,clear sky,6.8833,73.1,Dhidhoo beach
78,Bethel,US,55.02,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
79,Lagoa,PT,59.25,scattered clouds,39.05,-27.9833,Casa Das Faias
80,Sur,OM,77.02,clear sky,22.5667,59.5289,Sur Plaza Hotel
81,Dondo,MZ,78.31,light rain,-19.6094,34.7431,Arco Iris
82,Sola,VU,83.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
83,Marawi,PH,67.69,overcast clouds,7.9986,124.2928,Derogongan Residence
85,Naze,JP,61.72,overcast clouds,28.3667,129.4833,Shishime Hotel
86,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
87,Fredericksburg,US,71.02,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
89,Sao Filipe,CV,70.75,clear sky,14.8961,-24.4956,Hotel Xaguate
91,Bredasdorp,ZA,69.46,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
95,Piracuruca,BR,75.92,very heavy rain,-3.9281,-41.7092,Pousada Piracuruca
96,Port Elizabeth,ZA,68.31,mist,-33.918,25.5701,39 On Nile Guest House
97,Bubaque,GW,76.35,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
98,Kieta,PG,81.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
99,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
