City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puntarenas,CR,9.9763,-84.8384,88.45,57,39,11.01,scattered clouds
1,Vaini,TO,-21.2,-175.2,82.56,94,100,6.91,overcast clouds
2,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,8.05,scattered clouds
3,Bluff,NZ,-46.6,168.3333,61.48,80,5,5.06,clear sky
4,Santa Cruz De Tenerife,ES,28.4682,-16.2546,64.72,77,40,21.85,scattered clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,12.66,broken clouds
6,Ramnagar,IN,29.4,79.1167,68.4,18,0,5.61,clear sky
7,Opuwo,NA,-18.0607,13.84,70.72,80,91,3.58,light rain
8,Ahipara,NZ,-35.1667,173.1667,69.98,75,29,5.66,scattered clouds
9,Bengkulu,ID,-3.8004,102.2655,74.97,86,97,4.14,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,20.71,clear sky
11,Tiksi,RU,71.6872,128.8694,-13.22,98,83,4.54,broken clouds
12,Nova Olimpia,BR,-14.7972,-57.2881,76.19,86,99,1.86,overcast clouds
13,Boden,SE,65.8252,21.6886,26.6,97,41,2.55,scattered clouds
14,Koson,UZ,39.0375,65.585,46.72,53,86,13.18,overcast clouds
15,Bac Lieu,VN,9.285,105.7244,79.81,81,30,4.68,scattered clouds
16,Ratnagiri,IN,16.9833,73.3,77.23,87,69,3.83,broken clouds
17,Port Alfred,ZA,-33.5906,26.891,70.5,86,2,11.41,clear sky
18,Provideniya,RU,64.3833,-173.3,12.36,79,30,0.0,fog
19,New Norfolk,AU,-42.7826,147.0587,53.1,66,39,3.0,scattered clouds
20,Barquisimeto,VE,10.0739,-69.3228,85.69,40,88,4.45,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,47.86,66,40,28.77,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,79.54,72,63,12.1,light rain
23,Camana,PE,-16.6228,-72.7111,72.0,74,33,7.18,scattered clouds
24,Vangaindrano,MG,-23.35,47.6,72.48,82,100,0.58,overcast clouds
25,Tadpatri,IN,14.9167,78.0167,84.52,52,99,3.62,overcast clouds
26,Rybinsk,RU,58.0446,38.8426,28.44,97,12,5.26,few clouds
27,Healdsburg,US,38.6105,-122.8692,89.2,29,0,4.61,clear sky
28,Kysyl-Syr,RU,63.8986,122.7617,-1.79,100,99,1.19,overcast clouds
29,Honiara,SB,-9.4333,159.95,82.13,77,56,3.13,broken clouds
30,Beringovskiy,RU,63.05,179.3167,17.69,93,93,8.7,overcast clouds
31,Harper,LR,4.375,-7.7169,79.9,84,100,5.77,overcast clouds
32,Hobyo,SO,5.3505,48.5268,78.67,77,12,11.07,few clouds
